"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU","AR","CNT"
"string","string","string","string","string","string","string","string","string","string","string","string","string","string","string","string"
"TID_EVENT_BOOST_SPELL_AND_HEROES","Happy Halloween! Boost your Spell Factories for ONE GEM each through Halloween weekend.","Joyeux Halloween ! Boostez vos usines de sorts pour UNE GEMME chacune pendant le week-end d'Halloween.","Fröhliches Halloween! Verpasse das Halloween-Wochenende über deinen Zauberfabriken für nur jeweils EIN JUWEL einen Schub.","¡Feliz Halloween! Acelera el caldero de hechizos por una gema durante el fin de semana de Halloween.","Felice Halloween! Accelera le fabbriche degli incantesimi, usando UNA GEMMA ciascuna, durante il weekend di Halloween.","Fijne Halloween! Geef tijdens het halloweenweekend je spreukenfabrieken een boost voor maar ÉÉN EDELSTEEN per stuk.","God halloween! Forsterk magifabrikkene for bare ÉN JUVEL per fabrikk i halloween-helgen.","Tenha um ótimo Halloween! Acelere suas fábricas de feitiços por UMA GEMA cada, durante o final de semana do Halloween.","Cadılar Bayramı Kutlu Olsun! Cadılar Bayramı hafta sonu boyunca her bir Büyü Fabrikasını BİR TAŞLA destekle.","ハッピーハロウィーン！ハロウィーンの週末は、呪文工場を、1棟につき、たったのエメラルド1個でブーストできます。","万圣节快乐！在万圣节周末，每个法术工厂的加速只需花费一颗宝石。","행복한 할로윈 되세요! 할로윈 주말까지 마법 제작소를 보석 1개로 가속할 수 있습니다.","Веселого Хэллоуина! Только в праздничные выходные прокачай свою фабрику заклинаний всего за ОДИН САМОЦВЕТ!","هالوين سعيد! قم بتعزيز مصانع التعويذات مقابل جوهرة واحدة خلال عطلة نهاية الأسبوع في الهالوين.","萬聖節快樂！在萬聖節活動的週末，為魔咒工廠加速只需花費一顆寶石！"
"TID_EVENT_BOOST_EVERYTHING","Halloween Cauldron","Chaudron d'Halloween","Halloween-Kessel","Caldero de Halloween","Calderone di Halloween","Halloweenketel","Halloween-gryte","Caldeirão do Halloween","Cadılar Bayramı Kazanı","ハロウィーンの大釜","万圣节坩埚","할로윈 가마솥","Хэллоуинский котел","مرجل الهالوين","萬聖節魔法鍋"
"TID_XP_TITLE_UNLOCK_PUZZLEANDDRAGONS","Did you hear the update buzz?","Avez-vous eu vent de la mise à jour ?","Hast du gehört? Es gibt ein Update!","¿Has oído hablar de la última actualización?","Hai sentito le novità dell'aggiornamento?","Weet je het al van die nieuwe update?","Hørte du om oppdateringen?","Você ficou sabendo da atualização?","Güncelleme söylentilerini duydun mu?","アップデートについての情報をお聞きですか？","听到更新消息了吗？","업데이트가 몰려오는 소리, 들리시나요?","Вы уже слышали об обновлении?","هل سمعت بمميزات التحديث؟","你有收到新的更新消息嗎？"
"TID_XP_TEXT_UNLOCK_PUZZLEANDDRAGONS","Attack through Shield, Guard your play time and be ABSOLUTELY sure to defend your Town Hall! Shields are changing soon, so don't be caught off guard!","Attaquez avec un bouclier actif, protégez votre temps de jeu et faites TOUT pour défendre votre hôtel de ville ! Les boucliers vont bientôt changer, alors ne vous laissez pas surprendre !","Greife trotz deines Schilds an, \qschütze\q deine Spielzeit und VERGISS JA NICHT dein Rathaus zu verteidigen! Bleib dran! Bald gibt es Änderungen bei Schilden.","¡Ataca a través del escudo, usa la guardia mientras juegas y defiende tu ayuntamiento en todo momento! ¡Los escudos cambiarán pronto, no bajes la guardia!","Attacca con lo scudo attivo, non abbassare la guardia durante il gioco e ASSICURATI di difendere il Municipio! Gli scudi cambieranno presto, non farti prendere alla sprovvista!","Val aan met bescherming zonder verlies van beschermingsduur, en zorg TEGEN ELKE PRIJS dat je je stadhuis verdedigt! Schilden veranderen binnenkort, dus pas op dat je niet zonder komt te zitten!","Angrip gjennom skjold, vokt spilletiden din og vær VELDIG NØYE med å forsvare rådhuset ditt! Skjoldene endres snart, så vær på vakt!","Ataque com o Escudo, monitore seu tempo de jogo e LUTE para defender o Centro da Vila! Os Escudos mudarão em breve. Não seja pego desprevenido!","Kalkana rağmen saldır, oyun zamanını Koru ve Belediye Binanı ÇOK İYİ savunmayı unutma! Kalkanlar yakında değişecek, korumasız kalma!","シールドを通り抜けて攻撃し、プレイ時間を護らなければ！そして絶対に何があってもタウンホールを守りましょう！シールドの仕様がまもなく変更されます。油断して攻撃を受けないようにしましょう！","通过和平守卫发起攻击，不会损失护盾时间，还能保证大本营绝对安全！护盾即将得到更改，到时不要被吓一跳哦！","보호막을 넘어 공격하고, 플레이 시간을 지키고, 마을 회관을 반드시 방어하세요! 곧 보호막에 변화가 있을 예정이니 경계를 늦추지 마세요!","Нападайте со щитом, оставьте деревню под защитой и ЛЮБОЙ ЦЕНОЙ сохраните ратушу! Щиты скоро изменятся, так что будьте настороже!","هاجم عبر الدرع، احمِ وقت اللعب وكن واثقًا من الدفاع عن قاعة المدينة! ستتغير الدروع قريبًا، لذا لا تدع المفاجأة تلجمك!","護盾將能攻擊，保衛你的遊戲時間，並確保你的大本營有足夠的防禦！護盾接下來將會有所變換，所以千萬不要錯過防衛良機了！"
"TID_NEWS_UPDATE_INFO_TITLE","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","クラッシュ・オブ・クラン360","部落冲突（Clash of Clans）360度体验","Clash of Clans 360","Clash of Clans 360","Clash of Clans 360","《部落衝突 360》"
"TID_NEWS_UPDATE_INFO_TEXT","Experience a Virtual Reality raid! Stand atop an Archer Tower as enemy troops descend upon your village. For the best viewing experience, use the YouTube App on mobile.","Vivez un raid en réalité virtuelle ! Postez-vous au sommet d'une tour d'archers tandis que les troupes ennemis déferlent sur votre village. Pour une expérience vidéo optimale, utilisez l'application YouTube sur mobile.","Erlebe einen virtuellen Überfall! Schau von deinem Bogenschützenturm aus zu, wie feindliche Truppen in deinem Dorf einfallen. Das optimale Sehvergnügen bietet die YouTube-App für Mobilgeräte.","¡Vive un asalto en primera persona! Súbete a una torre de arqueras y defiende tu aldea de las tropas enemigas. Usa la aplicación de Youtube en tu móvil para tener la mejor experiencia visual.","Sperimenta un assalto in realtà virtuale! Piazzati su una torre dell'arciere mentre i nemici attaccano il tuo villaggio. Per una visione migliore su dispositivi mobili, usa l'app di YouTube.","Ervaar een virtual reality-strooptocht! Sta boven op een boogschuttertoren terwijl vijandelijke troepen je dorp aanvallen. Gebruik de YouTube-app voor mobiel voor de beste kijkervaring.","Opplev et raid i virtuell virkelighet! Følg med fra et bueskyttertårn mens fiendtlige tropper angriper landsbyen din. Bruk YouTube-appen på mobilen din for en best mulig opplevelse.","Experimente uma invasão em realidade virtual! Posicione-se no topo da Torre da Arqueira conforme as tropas atacam sua vila. Para a melhor experiência de visualização, use o app do YouTube no seu dispositivo móvel.","Sanal Gerçeklikte bir baskın deneyimi yaşa! Bir Okçu Kulesinin üzerinde durup köyüne hücum eden düşman birliklerini izle. En iyi görüntü deneyimi için YouTube Uygulamasını mobil cihazında kullan.","バーチャルリアリティの襲撃を体験せよ！村に迫り来る敵をアーチャータワーの上から眺めよう。最高品質で表示するには携帯電話でYouTubeのアプリを利用してください。","来体验一次虚拟现实版的突袭吧！站在箭塔上，看着敌军在您的村庄前纷纷倒下。在移动设备上使用YouTube应用可获得最佳视觉效果。","가상현실의 공격을 경험해 보세요! 마을로 몰려오는 적들에 맞서 아처 타워 위에서 꿋꿋이 자리를 지켜보세요. 최고의 전망을 위해 모바일에서 YouTube 앱을 사용해야 합니다.","Опробуйте атаку в виртуальной реальности! Заберитесь на башню лучниц во время нападения врага на деревню. Для лучшего просмотра, советуем использовать мобильное приложение YouTube.","قم بتجربة غارة واقع افتراضي! قف على قمة برج رامي السهام بينما تهبط قوات العدو على قريتك. للحصول على أفضل تجربة عرض، استخدم تطبيق YouTube App على المحمول.","體驗虛擬現實襲擊！站在屹立的高塔上，仰望敵方部隊進攻你的村落。請使用移動裝置上的 YouTube 應用程式來享受最佳的觀看體驗。"
"TID_NEWS_UPDATE_INFO_TEXT_SHORT","Watch Now","Regarder maintenant","Jetzt ansehen","Ver ahora","Guarda ora","Nu kijken","Se nå","Assistir agora","Hemen İzleyin","今すぐ見る","立刻观看","지금 보기","Смотреть сейчас","مشاهدة الآن","立即觀看"
"TID_NEWS_RED_TITLE","Thanks, Chiefs!","Merci, chefs !","Vielen Dank an alle Häuptlinge!","¡Gracias, jefes!","Grazie, capi!","Bedankt, chiefs!","Takk, høvdinger!","Obrigado, Chefes!","Teşekkürler Şefler!","チーフ、ありがとう！","首领们，谢谢！","감사합니다, 대장님!","Спасибо, вожди!","شكرًا أيها الزعماء!","族長，謝謝你！"
"TID_NEWS_RED_TEXT","Thank you all for supporting the PRODUCT(RED) campaign in the fight for an AIDS FREE GENERATION. 100% of proceeds will go to (RED)'s fight against AIDS.\n\n- The Clash of Clans Team","Merci à tous pour votre soutien à la campagne PRODUCT (RED) en faveur d'une GÉNÉRATION SANS SIDA. 100% des bénéfices seront reversés à (RED) pour lutter contre le SIDA.\n\n- L'équipe de Clash of Clans","Danke für eure Unterstützung der PRODUCT (RED)-Kampagne im Kampf für eine AIDS-FREIE GENERATION. 100 % der Erlöse werden für (RED)s Kampf gegen AIDS eingesetzt.\n\n- Dein Clash of Clans-Team","Gracias por ayudar a PRODUCT (RED) en su lucha por una GENERACIÓN SIN SIDA. El 100 % de los beneficios se destinará a ayudar a (RED) a luchar contra el sida.\n\n- El equipo de Clash of Clans","Grazie a tutti per aver sostenuto la campagna PRODUCT (RED) per una GENERAZIONE LIBERA DALL'AIDS. L'intero ricavato sarà devoluto per la lotta di (RED) contro l'AIDS.\n\n- Il team di Clash of Clans","Allemaal heel erg bedankt voor het steunen van de PRODUCT (RED)-campagne voor een GENERATIE ZONDER AIDS. 100% van de opbrengst gaat naar de strijd van (RED) tegen AIDS.\n\n- Het Clash of Clans-team","Takk for at dere støtter PRODUCT (RED)s kampanje for en GENERASJON UTEN AIDS. 100 % av inntektene går til (RED)s kamp mot AIDS.\n\n– Clash of Clans-teamet","Agradecemos a todos vocês por apoiar a campanha PRODUTO(RED) de luta por uma GERAÇÃO LIVRE DA AIDS. 100% do valor arrecadado financiará a luta da (RED) contra a AIDS.\n\n- A equipe de Clash of Clans","AIDS'SİZ BİR NESİL için düzenlediğimiz PRODUCT (RED) kampanyamıza verdiğiniz destek için teşekkür ederiz. Kazancın %100'ü (RED)'in AIDS'e karşı verdiği savaş için kullanılacak.\n\n- Clash of Clans Ekibi","エイズのない未来を目指すPRODUCT (RED)キャンペーンをご支援いただき、ありがとうございました。(PRODUCT)RED製品の売上金は全額(RED)を通じてエイズ対策支援のために寄付いたします\n\n- クラッシュ・オブ・クラン スタッフ一同","感谢您支持PRODUCT (RED)活动，为“无艾滋的一代”而战。所有收入将全部用于(RED)的反艾滋大征战。\n\n-部落冲突(Clash of Clans)团队","PRODUCT (RED) 캠페인을 지원하여 에이즈 없는 세대(AIDS FREE GENERATION)를 위한 싸움을 도와주셔서 감사합니다. 모든 수익금은 (RED)의 에이즈 퇴치 활동에 사용됩니다.\n\n- 클래시 오브 클랜 팀","Спасибо, что поддержали кампанию PRODUCT (RED) ПОКОЛЕНИЕ БЕЗ СПИДА. Вся выручка пойдет на борьбу (RED) со СПИДом.\n\n- Команда The Clash of Clans","شكرًا لكم جميعًا على دعم حملة PRODUCT(RED) للوصول إلى جيل خال من الإيدز. ستذهب 100% من العائدات إلى حملة مكافحة (RED) ضد الإيدز.\n\n- فريق Clash of Clans","謝謝您支援 PRODUCT (RED)，聯手為「零愛滋世代」奮鬥。所有收入將供 (RED) 對抗愛滋。\n\n-《部落衝突》團隊敬上"
